10000000,574,369
10000001,519,345
10000002,570,367
10000003,1104,684
10000004,1082,352
10000005,498,344
10000006,514,384
10000007,613,306
10000008,575,334
10000009,958,632
10000010,1103,663
10000011,1024,588
10000012,1073,658
10000013,2251,603
10000014,969,676
10000015,926,540
10000016,499,330
10000017,471,299
10000018,560,328
10000019,529,367
10000020,603,369
10000021,525,318
10000022,572,302
10000023,492,297
10000024,545,327
10000025,825,367
10000026,510,408
10000027,479,370
10000028,575,326
10000029,490,331
10000030,531,372
10000031,500,360
10000032,575,320
10000033,568,366
10000034,503,301
10000035,586,340
10000036,588,409
10000037,509,300
10000038,619,357
10000039,598,324
10000040,526,321
10000041,626,332
10000042,603,337
10000043,545,430
10000044,623,355
10000045,538,331
10000046,472,353
10000047,937,425
10000048,545,406
10000049,1060,688
